,input
36,"As a site visitor, I want to do a full-text search of the FAQs, so that I can find an answer quickly.
"
37,"As a repository manager, I want to know if the checksum for any of my repository's content files that have changed.
"
38,"As a user, I want to view how an experimental protocol has evolved over time.
"
39,"As a user, I want to search and discover music using content identification or fingerprinting.	
"
40,"As a site member, I want to download the latest training material and methodology PDFs, so that I have them.	
"
41,"As a CONNECT developer, I want to PoC streaming web services, to determine their feasibility in CONNECT.	
"
42,"As a site member, I want to view the profiles of other members, so that I can find others I might want to connect with.
"
43,"As a camp administrator, I want to be able to upload consent forms, so that campers or their parents can easily access the forms.
"
44,"As a site admin, I want to edit and delete help wanted ads, so that I can correct small problems or make sure each ad complies with site guidelines.	
"
45,"As a Custodial Agent, I want to ensure CONNECT Plus adheres to the NwHIN Specifications. CONNECT Plus needs to implement the Jan 2010 version of the Access Consent Policies specification.	
"
46,"As a Researcher, I want to be able to reference a remote-controlled vocabulary for my dataset, so that I can be sure that column of my dataset are valid against a single shard list of terms.	
"
47,"As a CONNECT adopter I want installation instructions on how to configure and deploy CONNECT 4.x to be FIPS 140-2 compliant on a WebSphere 7.0 app server so that I can install CONNECT in my secure environment	
"
48,"As a researcher,  I want to have the ability to locate and access data that colleagues want to share.
"
49,"As an OlderPerson, I want to buy ALFRED in a senior shop with special client support. 
"
50,"As a Practitioner, I want to write an article for the site with a small graphic shown with the article showing my CSP or CST status, so that others know my certifications when reading.
"
51,"As a repository manager, I want to register a name record for each unique identity associated with my repository's collections and objects. 
"
52,"As a Practitioner, I want to write an article for the site with a small graphic shown with the article showing my CSP or CST status, so that others know my certifications when reading.	
"
53,"As a depositor, I want to manage and share “live” research data, so that whole project workflow is linked together.
"
54,"As an InformalCaregiver, I want to have a game that the carer could play together with the user, so that it would enable to monitor the usersâ€™ state of health but also have some fun time. 
"
55,"As a CONNECT adopter supporting deferred PD services I would like to know about the requests that were fanned out by the gateway to multiple target communities so that I can keep track of the responses as I receive them.	
"
56,"As a Staff member, I want to Manage Affidavits, so that I can ensure compliance with the requirements prior to the hearing.	
"
57,"As a site visitor, I want to view a course I can click on the trainer's name and be taken to the trainer's profile, so that I can read more about a trainer before registering for a course.
"
58,"As a Plan Review Staff member, I want to Track the Completion of Required Plan Reviews, so that I can ensure all plan review tasks are completed, results have been sent to the Applicant and any downstream steps are initiated such has a final review or payment for permit issuance.
"
59,"As a user, I want to contact the administrators, so that I can give feedback or ask for help.	
"
60,"As a repository manager, I want to indicate if a statute pertains to the component, apart from the object as a whole. 
"
61,"As a Data Analyst, I want to update previously downloaded data package, so that that I can work with the most recent data.
"
62,"As a Custodial Agent, I want to ensure CONNECT Plus adheres to the NwHIN Specifications. CONNECT Plus needs to implement the Jan 2010 version of the Document Query specification.	
"
63,"As a Custodial Agent, I want to ensure CONNECT Plus adheres to the NwHIN Specifications. CONNECT Plus needs to implement the July 2011 version of the Document Retrieve specification.	
"
64,"As a workshop attendee, I want to see a summary on major findings from the event.
"
65,"As an Archivist, I want to see Dates and Extents displayed in both the read and edit views for Accessions and/or Resources before the list of Subjects.
"
66,"As an admin, I want to onboard recycling centers on the platform, so that I can increase information accuracy.
"
67,"As a system administrator, I want to migrate data from an older version of NeuroHub to the current version.
"
68,"As a HIMSS participant, I want the CONNECT-Hub user interface to be polished and handle my errors.	
"
69,"As a Zooniverse admin, I want to perform automatic segmentation or localization of plankton in Plankton Portal.	
"
70,"As a CONNECT Developer, I wan to create the design approach for Direct enhancements	
"
71,"As a UI designer, I want to track the issues that come up in Tech Thursday, so that I know what to test and what want s to be fixed.
"
72,"As an admin, I want to be able to block specific users based on IP address, so that I can prevent spamming on the websites.
"
73,"As a SocialCaregiver, I want to have a step counter included into ALFRED. 
"
74,"As a user, I want to have a great UI and UX from the sites, so that I have a pleasant experience when navigating through them.
"
75,"As a repository manager, I want to describe a collection, including its title, it's inclusive / bulk dates, its language(s), and many other aspects.
"
76,"As a site member, I want to describe myself on my own page in a semi-structured way, so that others can learn about me.
"
77,"As a depositor, I want to deposit the files that I have, so that I don't have to spend a lot of time finding the right version and converting to the right format.
"
78,"As a anonymoususer, I want to register to speak at BADCamp, so that I submit a session.
"
79,"As a site editor, I want to create the content of the What Is Scrum section, so that it's there for visitors.
"
80,"As a authenticateduser, I want to Be offered several choices of idividual sponsorship on the second page of registration, so that I can be awesome and financially support the camp.
"
81,"As a CONNECT user I need the specifications page updated on connectopensource.org wiki so that I am informed of the specifications and versions that CONNECT 4.0 supports along with backward compatibilility for the product	
"
82,"As an NSF employee, I want to know how visual design directions were developed, so that I can make better design decisions in the future.
"
83,"As a user,  I want to have the ability to keep my data private on the system, and only share data that I deem should be shared.
"
84,"As a Developer, I want a jQuery plugin for Core Data Packages, so that I can use it to apply to form control that uses a core dataset for autocompletion."
85,"As a user, I want to identify broadcaster logos in videos, and receive related information about them.	
"
86,"As a designer, I want to have a new social media wireframe, so that I can begin implementing design.
"
87,"As a lab administrator, I want to theme the Web interface graphics/colours.
"
88,"As a collection curator, I want to have the item to be allowed under the access permissions set on the object after the embargo data is reached.
"
89,"As a Publisher, I want to add type information to my data, so that it is more useful to others and can be used better with tools like visualization programs.	
"
90,"As an NSF employee, I want to see how the user recruitment form looks and behaves on a sample page, so that I can understand the impact the recruitment will have on the NSF page.
"
91,"As a Developer , I want to update the FABS sample file to remove FundingAgencyCode after FABS is updated to no longer require the header.
"
92,"As a trainer, I want to list my upcoming classes in my profile and include a link to a detailed page about each, so that prospective attendees can find my courses.	
"
93,"As a UI designer, I want to redesign the Resources page, so that it matches the new Broker design styles.
"
94,"As a Data Consuming User, I want to be able to share an image of a particular view state to the social networks that support this, So that I can provide richer context in those communication channels for data I am sharing.
"
95,"As a Plan Review Staff member, I want to successfully Conduct a Plan Review Meeting with the Applicant and record the outcome, so that I can listen to it again.	
"
96,"As a designer, I want to know what early indications of hypotheses might be, so that I can start planning for the first prototype.
"
97,"As a Cornell faculty member, I want to login remotely to the repository using Shibboleth, so that I can get remote access to Cornell campus-only content.
"
98,"As a stakeholder, I want to have a decision on whether or not the blog aggregator may work for beta, and if not what will.
"
99,"As a ProspectiveApplicant, I want to research requirements and to select a service, so that I can find the relevant service and/or application type to initiate via the online portal.
"
100,"As an researcher, I want to view film clips, so that I can see excerpts of films.
"
101,"As an Administrator, I want to create a new User account for someone else.
"
102,"As a Developer , I want to determine the best way to load historical FPDS data, so that I can load all FPDS data since 2007.	
"
103,"As an Owner, I want to design an audit from the UI SME, so that I know the potential scope of the UI improvements want ed.
"
104,"As a developer, I want to access an API from the website, so that I can integrate it and implement certain features in my own iOS application.
"
105,"As an archivist, I want to make information about rights available to researchers and donors, so that they know what they can do with images.
"
106,"As a user, I want to view user documentation for the website, so that I know how to use the web app.
"
107,"As a Cornell faculty member, I want to search for the dissertations in the repository for which I have been a thesis committee member, to quickly find work by a former student.
"
108,"As an admin, I want to be able to add or remove recycling facilities' information, so that users get the most recent information.	
"
109,"As a user, I want to have a visual way of viewing particular files uploaded over a time period.
"
110,"As a Consumer, I want to get a sense of the age of the datapackage that I have downloaded before, so that that I can decide if I should update or not.
"
111,"As a CONNECT adopter, I need to understand how fanning out requests to multiple communities is handled with the multi-specification implementation in CONNECT	
"
112,"As a camp administrator, I want to be able to delete tasks/activities I scheduled, so that I can keep the schedule clean of unneeded activities.
"
113,"As an API User, I want to be able to get a relative percentage of a measure to the total of the dataset it comes from, So that I can build alternative displays of the data.
"
114,"As a content designer, I want to demonstrate the value of user-centered content design to ensure it's an integral part of our recommendations.
"
115,"As a CONNECT Adopter, CONNECT needs to provide a new MPI Adapter with an optional and configurable underlying database implementation for storing patient records.	
"
116,"As a trainer, I want to be assured that no one can submit the same answers multiple time and skew my results, so that my ratings are accurate.	
"
117,"As a data manager, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.
"
118,"As a Research Information manager, I want to segment the view and download statistics by country and sector so that impact of datasets outside academia can be demonstrated.
"
119,"As a data librarian, I want to import administrative information regarding a project into DMP, so that I can prepopulate the DMP.
"
120,"As a anonymoususer, I want to have a dedicated page for each class to learn more about the offering The following information must be shown: Logo, title, trainers, location, possibly a map view, datetime, skill level, registrations remaining, link to register for class. The URL path should be SEO friendly /training/training-title, so that I can choose the right class, AND the trainer can tweet and promote their class.
"
121,"As a Staff member, I want to Perform a Completeness Review, so that I can validate when an application is complete and eligible for further technical review.	
"
122,"As a researcher, I want to view thumbnails of photos, so that I can make a selection of which one I want to license.
"
123,"As a CONNECT QA analyst, I need to document the test plan for Direct so that I can detail out how the Direct capability will be tested and validated	
"
124,"As a developer, I want to have detailed information of what happened when my App crashes on the userâ€™s device. 
"
125,"As a CONNECT user I need to poll and log the MDN notifications received so that I can use that information to determine whether my Direct message was successfully processed by the Receiving STA.	
"
126,"As a repository manager, I want to indicate any other rights pertinent to an object. 
"
127,"As a site member, I want to fill out an application to become a Certified Scrum Trainer, so that I can teach CSM and CSPO courses and certify others.
"
128,"As a site member, I want to subscribe to an RSS feed of jobs available, so that I can read them without visiting the site.	
"
129,"As a Zooniverse admin, I want to perform automatic animal number detection in Snapshot Serengeti.	
"
130,"As a user, I want to scope by searches by name to a specific role such as illustrator, photographer, etc. 
"
131,"As a site editor, I want to assign priority numbers to news items, so that I can indicate which articles I want featured most prominently on the site.
"
132,"As an admin, I want to add recycling center information, so that I can keep the database up-to-date over time.
"
133,"As a CONNECT adopter, I want to know the CONNECT 3.3 test plan, so that I can understand how it was tested prior to release.	
"
134,"As a user, I want to be able to limit my search to specified collection(s). 
"
135,"As a CONNECT Adopter, I need a light weight policy engine implemented by a PDP implementation for evaluating the policies against the request context and determining a decision.	
"
136,"As a Basic Data Entry user , I want to create and update basic archival description information.
"
137,"As a data user, I want to see the office names derived from office codes, so that I can have appropriate context for understanding them.
"
138,"As an administrator, I want to see comprehensive tracking statistics that can be presented to faculty in a digestible way, so that I can increase buy-in for contributing their work.
"
139,"As a camp worker, I'm able to report a camper to the manager with an inappropriate behavior.
"
140,"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.	
"
141,"As an OlderPerson, I want to have an AFLRED device that encourages its users for real interaction between humans and not only with ICT tools. 
"
142,"As a computer I need CONNECT to be database independent and support different databases such as Oracle.	
"
143,"As an Archivist, I want to assign a Level of description to a Resource or Resource Component and optionally specify another value if the Level is not in a predefined list.
"
144,"As a Data Consuming User, I want to see textual descriptions that accompany embedded visualisations, So that I can more easily understand what I am viewing.
"
145,"As an UnivITservice, I want to store archived data directly on the HCP object store, so that  features can be made.
"
146,"As a trainer, I want to show my rating up on my profile page, so that site visitors can choose wisely.	
"
147,"As a researcher, I want to search by keyword, so that I can learn what already exists digitally and avoid placing additional duplication requests.
"
148,"As an Applicant, I want to Satisfy Hearing Requirements, so that I can ensure all pre-hearing requirements are satisfied in time for the hearing.	
"
149,"As a site admin, I want to see the results for each trainer and averages for the class, so that I can identify any outliers or possible problems.	
"
150,"As an admin, I want to add recycling center information, so that I can keep the database up-to-date over time.	
"
151,"As a anonymoususer, I want to see specific details on summits, so that I can learn more about the summit I'm interested in to see if it matches my interests, register for the event, and get day-of knowledge to help me get to the location.
"
152,"As an externalcoordinator, I want to have guarantees that my IP rights will not be breached, so that the risk of collaborating with Bath is acceptable to me.
"
153,"As a Publisher, I want to know what do next after signing up, so that that I can get going quickly.
"
154,"As a Public User, I want to Search for Information, so that I can obtain publicly available information concerning properties, County services, processes and other general information.	
"
155,"As an OlderPerson, I want to use ALFRED to pay for small amounts.
"
156,"As a anonymoususer, I want to sign up for the BADCamp newsletter, so that I can stay up to date with the latest communications about BADCamp.
"
157,"As an agency user, I want the FABS validation rules to accept zero and blank for non-loan records.	
"
158,"As a CONNECT adopter, I want CONNECT 4.0 to be tested on WebSphere 7.x to validate whether CONNECT will work in my preferred enviornment	
"
159,"As an Agency user, I want to accurately see who created a submission, so that I'm not confused about who last updated a submission.
"
160,"As a UI designer, I want to track the issues that come up in Tech Thursday, so that I know what to test and what want s to be fixed.	
"
161,"As a CONNECT developer, I want to provide a mechanism to manage gateway configuration, so that my team and our adopters can more easily manage their gateway.	
"
162,"As a CONNECT adopter/product owner, I want the report for the security scan reviewed, responded to and issues addressed so that I can better understand the security issues associated with the CONNECT code and prepare for internal reviews	
"
163,"As a Zooniverse admin, I want to group subjects by similarity.	
"
164,"As a user, I want to search and discover music or ringback tones similar to a given music video based on content similarity.	
"
165,"As a site administrator, I want to create an Other Course or Event that is not charged a listing fee, so that the Scrum Alliance doesn't charge itself for Scrum Gatherings that it puts on.
"
166,"As a site visitor, I want to view lists on the site of all Certified Scrum Masters, Practitioners, Trainers, and Certified Scrum Product Owners.	
"
167,"As a CONNECT adopter, I find it annoying that CONNECT urls are inconsistent.	
"
168,"As an Owner, I want to invite an existing user, so that the user can become a member of my publisher.
"
169,"As a CONNECT adopter, I want to know how to enable FIPS on a CONNECT 3.3 installation on GlassFish 3.1.2	
"
170,"As a CONNECT adopter, I want to audit PD messages per ATNA specifications so that the PD audits are compliant.	
"
171,"As a Direct HISP implementer using CONNECT, I want CONNECT to support trust bundles to minimize configuration overhead for setting up multiple anchors and support the trust communities that use trust bundles	
"
172,"As a site member, I want to send an email to any member via a form, so that we can connect.	
"
173,"As a Researcher, I want to get a Data Package into LibreOffice/OpenOffice in seconds, so that I can start using the data for doing analysis and visualizations.	
"
174,"As a DAMS manager, I want to know what repository an object belongs to. 
"
175,"As a CSM, I want to have my name listed in the registry without becoming a member of the site, so that employers or others can verify my certification.
"
176,"As a site editor, I want to edit the content of the email automatically sent to new Certified Scrum Masters and Product Owners, so that I don't need to involve a programmer on simple email edits.	
"
177,"As a user, I want to disable explore for a dataset that was configured for explore initially.
"
178,"As a Planning Staff member, I want to Conduct and Track Plan Amendments and Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s).	
"
179,"As an Agency user, I want to accurately see who created a submission, so that I'm not confused about who last updated a submission.	
"
180,"As a site visitor, I want to see a trainer's rating, so that I choose a course from an appropriate trainer.	
"
181,"As a CONNECT team member, I want to continually improve our SDLC processes so that we can track, report on, and map artifacts such as requirements, bug fixes, and pull requests.	
"
182,"As a ResearcherPublisher, I want to publish Data Packages to CKAN, so that my data is findable, and I can have a data API.	
"
183,"As a Cornell faculty member, I want to have some control over how items within my collection sort in collection contents lists, so that I can control how my work is presented.
"
184,"As a depositor, I want to see what kinds of things the repository accepts and what formats are accepted and recommended.
"
185,"As a repository manager, I want to indicate any statutes pertinent to an object. 
"
186,"As a Developer , I want to determine the best way to load historical FPDS data, so that I can load all FPDS data since 2007.
"
187,"As a researcher, I want to see common material across collections, so that so I can prepare a comprehensive analysis.
"
188,"As an archivist, I want to add restriction end date information to files, so that I can share files when they become open.
"
189,"As a anonymoususer, I want to fill out a user registration form, so that I can register for the camp and get an account on the website.
"
190,"As a user, I want to filter the files I get from search results based on their  type.
"
191,"As a user, I want backend changes to support loading enum value lists from the database.
"
192,"As User, I want to be able to log in.
"
193,"As a user, I want to know what repository an object belongs to. 
"
194,"As an API user, I want to be able to change the colors of the embedded visualisations in my own platform, So that I can customize the visualisations.
"
195,"As an administrator, I want to limit who can see certain metadata fields, so that I can show or hide things from display based on user groups.
"
196,"As a Staff member, I want to Manage Ordinances, so that I can maintain accurate ordinance information in the System.
"
197,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.
"
198,"As a Developer, I want D Files generation requests to be managed and cached, so that duplicate requests do not cause performance issues.
"
199,"As a repository manager, I want to link, when appropriate, a component to another component or to a file. 
"
200,"As a repository manager, I want to indicate subjects related to the collection. 
"
201,"As a CONNECT adopter, I want 4.3 to be install tested so that the installation is successfully validated in the supported environments	
"
202,"As a stakeholder, I want to see the results of user research, so that I can determine if the CMS is right for me.
"
203,"As an admin, I want to filter and rank videos based on A/V quality aspects.	
"
204,"As a authenticateduser, I want to See a payment page to pay for my individual sponsorships as the third step of the registration process so that pay for my sponsorship.
"
205,"As a participant, I want to be able start a two-minute countdown timer that all participants can see, so that I can limit the time spent discussing the estimates when I think we’ve talked long enough.
"
206,"As a camp administrator, I want to create an avenue so parents can submit feedback and general concerns, so that I can keep improving the services I provide.
"
207,"As a faculty data steward, I want to see the sections on roles, so that I can ensure sufficient expertise on data management to support the project."
208,"As a researcher, I want to extract the description of the data collected, so that I can reuse it for the writing of a data paper.
"
209,"As a donor representative, I want to look at images that have been scanned from my collection, so that so that I can use them in my institutions exhibits, reports etc.
"
210,"As a user, I want to have the ability to move multiple files around and rearrange them using the Neurohub file browser while processing data.
"
211,"As an Admin, I want to invite someone to join the platform, so that that they can start contributing or using data.
"
212,"As a Data Consuming User, I want to be able to filter, sort and aggregate data by multiple dimensions and measures, So that I can get more granular views on the data.
"
213,"As a user, I want to get info about similar video items and segments.	
"
214,"As a site editor, I want to maintain a FAQ section, so that support gets fewer easily answered questions.
"
215,"As a ResearcherPublisher, I want validate my data with a minimum of clicks, so that I can feel trust in the validity and usefulness of the data. 
"
216,"As a moderator, I want to get a password reminder by email, so that I can get back to using the application when I've forgotten my password.
"
217,"As a user, I want to be able to receive tempting rewards, so that I have a reason to use the website.	
"
218,"As a DigitalRecords Archivist, I want to expose the descriptive record for each ETD item for re-use external to Fedora.
"
219,"As a camp administrator, I want to be able to remove campers if they don't attend the camp anymore, so that I can keep the records organized.
"
220,"As an OlderPerson, I want to receive a medicine reminder from ALFRED. 
"
221,"As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.
"
222,"As a publisher, I want to be able to check that every time I update my data it is still good, so that I can catch errors early and store reliable data. 
"
223,"As a repository manager, I want to be able t run a report periodically showing the storage consumed by each financial contact.
"
224,"As a CONNECT adopter, I want the regression suite to be well organized and documented so that understanding and executing the test suite is easier and the regression suite is easy to maintain	
"
225,"As a Data Publishing User, I want to be able to edit the data source of data I have already imported, So that I can fix bugs or make enhancements in the API built for my data.
"
226,"As an administrator, I want to know who funded the project and their requirements, so that I can track the funder specific obligations.
"
227,"As a Bath Data Archive administrator, I want to query the entire archive , so that I can report on particular aspects of the archive holdings.
"
228,"As an archivist, I want to distinguish between images scanned in color or black and white, so that I know whether or not these images meet publication requirements.
"
229,"As a CONNECT adopter, I want to address all Medium and Low Fortify issues so that the code quality is improved	
"
230,"As a developer, I want to take a dataset offline, so that I can perform a long-running maintenance or migration procedure.
"
231,"As a CMS SME, I want to see the webmaster workflow report, so that I can understand how this might impact current direction.
"
232,"As an OlderPerson, I want to use only well-visible buttons.
"
233,"As a recyclingfacility, I want to be able to communicate directly with the site admin and convey any issues or concerns I have, so that they fix them.
"
234,"As a site member, I want to fill out an application to become a Certified Scrum Practitioner, so that I can earn that designation.	
"
235,"As a Zooniverse admin, I want to assess how interesting or appealing or complex a picture is based on automated analysis, citizen annotations, and comments on Talk.	
"
236,"As a CONNECT tester, I want the regression test ready to run at regular intervals in the CI environment	
"
237,"As an administrator, I want to create user groups, so that I can control user permissions.
"
238,"As a CONNECT developer, I run wsdl2java generation as few times as possible during normal CI	
"
239,"As a CONNECT implementer, I would like enhanced CONNECT performance to minimize resource requirements	
"
240,"As a collection curator, I want to view the permission on my objects all together.
"
241,"As a Developer, I want to get a Data Package into Clojure in seconds, so that I can start using the data in doing analysis and visualizations."
242,"As a Consumer, I want to see how active the site is, so that I can decide if I should get involved.
"
243,"As a Consumer, I want to download a DataPackage's data one coherent SQLite database, so that that I can get it easily in one form.
"
244,"As a repository manager, I want to be able to update repository information in one place and be assured updates will be propagated to all relevant places. 
"
245,"As a student, I want to learn who at Cornell has or is engaged in research related to a particular topic, so that I can decide if I would like to pursue studies/research at Cornell.
"
246,"As a HISP supporting SMTP and XDR edge, I want a GUI interface to track notifications for both MDN Processed and Delivery tracking methods to support my trading partners use cases	
"
247,"As a recruiter, I want to be able to extend an ad for another 30 days by visiting the site and updating the posting, so that my ad remains active.	
"
248,"As a administrator, I want to mark a session as accepted, so that I can populate the schedule .
"
249,"As a developer, I want an online service that is connected to my data repository that validates data on update, so that I can delegate data validation to a third party.	
"
250,"As a CONNECT adopter, I want to complete documentation for 4.3 updated on the wiki, so that the community understands the enhancements and artifacts for the release	"
251,"As an OpenSpending Community Member, I want to have an app where I can find examples of use of fiscal data visualisations, So that I can find guidance in creating my own with Open Spending.
"
252,"As a site visitor, I want to see a trainer's rating, so that I choose a course from an appropriate trainer.
"
253,"As a pipeline developer, I want to upgrade a dataset instance to a newer version of the code after the pipeline was created.
"
254,"As a researcher, I want to browse through files in a collection.
"
255,"As a CONNECT adopter testing the gateway against CCHIT's DIL, I want to have a reusable set of SOAP UI tests that validate PD, QD and RD initiating and responding scenarios, so that we can easily test and validate against the DIL.	
"
256,"As a Staff member, I want to Send or Post Citations and Fines, so that I can successfully send the Notice Of Violation document to the property owner and log information about the action.
"
257,"As a site visitor, I want to do a full-text search of the FAQs, so that I can find an answer quickly.	
"
258,"As a Zooniverse admin, I want to know when I should interrupt a volunteer.	
"
259,"As an archivist, I want to automatically generate technical metadata, so that I know the file size.
"
260,"As an Application Administrator, I want to be able to reset a User's password for them.
"
261,"As an Inspection Staff Supervisor, I want to Assign Inspections, so that I can make sure the appropriate Inspector receives the work.
"
262,"As an app developer, I want to deploy a new version of a dataset type as part of an app artifact, without affecting other datasets of this type.
"
263,"As a user, I want to search and discover music based on my profile.	
"
264,"As a Broker user, I want to have PPoPZIP+4 work the same as the Legal Entity ZIP validations.
"
265,"As a repository manager, I want to know all events done to an object over the object's life cycle. 
"
266,"As a donor representative, I want to access the descriptive information about the images scanned for my institutions needs.
"
267,"As a CONNECT implementer, I want to address all security issues identified as part of Fortify scans to be fixed so that the code is secure and compliant with DoD requirements for code quality	
"
268,"As a trainer, I want to list my upcoming classes in my profile and include a link to a detailed page about each, so that prospective attendees can find my courses."
269,"As a Developer, I want to prevent duplicate transactions from being published and deal with the time gap between validation and the publishing decision."
270,"As a MedicalCaregiver, I want to have feedback on the activity level of the user. 
"
271,"As a PI, I want to know how secure data is, so that I can ensure legal compliance.
"
272,"As a Zooniverse admin, I want to automatically detect Snapshot Serengeti images with no classifiable animals in them.
"
273,"As a Cornell faculty member, I want to see clearly what reuse rights I have to files discovered in the repository, so that I know how I can reuse them.
"
274,"As a FABS user, I want to submission errors to accurately represent FABS errors, so that I know why my submission didn't work.	
"
275,"As an API User, I want to be able to normalise measures by GINI and related socioeconomic indexes, So that I work with datasets in reference to their contextual constraints.	
"
276,"As a fundingbody, I want to be reassured that researchers I fund have robust archival plans for their data, so that I can be sure that funding them is a worthwhile investment.
"
277,"As a research evaluation manager, I want to ensure all data are quoted correctly with our affiliation, so that they are counted towards our citation counts.
"
278,"As a broker team member, I want to make some updates to the SQL codes for clarity.
"
279,"As a collection curator, I want to have metadata changes made to items with repository-assigned DOIs to be propagated to the EZID.
"
280,"As an admin, I want to be able to block specific users based on IP address, so that I can prevent spamming on the websites.	
"
281,"As a CONNECT developer I want to analyze Direct functionality and design an approach to creating test scripts in order to have functional level testing coverage of Direct	
"
282,"As a Custodial Agent, I want to ensure CONNECT Plus adheres to the NwHIN Specifications. CONNECT Plus needs to implement the July 2011 version of Deferred Patient Discovery.	
"
283,"As a Zooniverse admin, I want to detect when a scientist should be prompted to look at a subject, based on annotations and information from Talk comments.	
"
284,"As a site administrator, I want to edit any site member profile, so that I can correct problems for members.
"
285,"As a data manager, I want to know what the content of the data is, so that I can check whether the necessary expertise for maintaining intellectual reusability is available.
"
286,"As a developer, I want to attend some UI/UX lessons, so that I can develop an awesome and beautiful features website.
"
287,"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.
"
288,"As a user, I want to be able to see and navigate the component hierarchy of an object. 
"
289,"As a RepositoryManagerResearcher, I want an app that acts as a match-making service for packaging data, so that owners are paired with data packagers.
"
290,"As an archivemanager, I want to know the legal status of data, so that I can apply the legal requirements accordingly.
"
291,"As a recruiter, I want to be able to extend an ad for another 30 days by visiting the site and updating the posting, so that my ad remains active.
"
292,"As a camp administrator, I want to be able to modify the information of enrolled campers, so that I can keep the campers information up to date.
"
293,"As a Data Publishing User, I want to be able to import data from a Google Spreadsheet, So that I do not have to convert data formats in order to use the data packager.
"
294,"As a CONNECT developer I want to do a dry run of the HIMSS 2014 demo with good data.	
"
295,"As a content designer, I want to develop a better understanding of NSF's content types and editorial plan, so that I can make more informed recommendations going forward.
"
296,"As a stakeholder, I want to know who is responsible for the DMP, so that I can ask them about further details.
"
297,"As a DAMS manager, I want to know the agent(s) responsible for carrying out an event. 
"
